NDB_No,Earthstat,Earthstat description,Shrt_Desc,Water_(g),Energ_Kcal,Protein_(g),Lipid_Tot_(g),Ash_(g),Carbohydrt_(g),Fiber_TD_(g),Sugar_Tot_(g),Calcium_(mg),Iron_(mg),Magnesium_(mg),Phosphorus_(mg),Potassium_(mg),Sodium_(mg),Zinc_(mg),Copper_mg),Manganese_(mg),Selenium_(µg),Vit_C_(mg),Thiamin_(mg),Riboflavin_(mg),Niacin_(mg),Panto_Acid_mg),Vit_B6_(mg),Folate_Tot_(µg),Folic_Acid_(µg),Food_Folate_(µg),Folate_DFE_(µg),Choline_Tot_ (mg),Vit_B12_(µg),Vit_A_IU,Vit_A_RAE,Retinol_(µg),Alpha_Carot_(µg),Beta_Carot_(µg),Beta_Crypt_(µg),Lycopene_(µg),Lut+Zea_ (µg),Vit_E_(mg),Vit_D_µg,Vit_D_IU,Vit_K_(µg),FA_Sat_(g),FA_Mono_(g),FA_Poly_(g),Cholestrl_(mg),GmWt_1,GmWt_Desc1,GmWt_2,GmWt_Desc2,Refuse_Pct
11109,cabbage,cabbages and other brassicas,"CABBAGE,RAW",92.18,25,1.28,0.1,0.64,5.8,2.5,3.2,40,0.47,12,26,170,18,0.18,0.019,0.16,0.3,36.6,0.061,0.04,0.234,0.212,0.124,43,0,43,43,10.7,0,98,5,0,33,42,0,0,30,0.15,0,0,76,0.034,0.017,0.017,0,89,"1 cup, chopped",70,"1 cup, shredded",20
11112,cabbage,cabbages and other brassicas,"CABBAGE,RED,RAW",90.39,31,1.43,0.16,0.64,7.37,2.1,3.83,45,0.8,16,30,243,27,0.22,0.017,0.243,0.6,57,0.064,0.069,0.418,0.147,0.209,18,0,18,18,17.1,0,1116,56,0,0,670,0,20,329,0.11,0,0,38.2,0.021,0.012,0.08,0,89,"1 cup, chopped",70,"1 cup, shredded",20
11114,cabbage,cabbages and other brassicas,"CABBAGE,SAVOY,RAW",91,27,2,0.1,0.8,6.1,3.1,2.27,35,0.4,28,42,230,28,0.27,0.062,0.18,0.9,31,0.07,0.03,0.3,0.187,0.19,80,0,80,80,12.3,0,1000,50,0,0,600,0,0,77,0.17,0,0,68.8,0.013,0.007,0.049,0,70,"1 cup, shredded",,,20
16055,carob,carobs,CAROB FLOUR,3.58,222,4.62,0.65,2.27,88.88,39.8,49.08,348,2.94,54,79,827,35,0.92,0.571,0.508,5.3,0.2,0.053,0.461,1.897,0.047,0.366,29,0,29,29,11.9,0,14,1,0,0,8,0,0,0,0.63,0,0,0,0.09,0.197,0.216,0,103,1 cup,6,1 tbsp,0
11960,carrot,carrots and turnips,"CARROTS,BABY,RAW",90.35,35,0.64,0.13,0.63,8.24,2.9,4.76,32,0.89,10,28,237,78,0.17,0.1,0.151,0.9,2.6,0.03,0.036,0.556,0.401,0.105,27,0,27,27,7.5,0,13790,690,0,3767,6391,0,0,358,,0,0,9.4,0.023,0.007,0.065,0,15,1 large,10,1 medium,0
11564,carrot,carrots and turnips,"TURNIPS,RAW",91.87,28,0.9,0.1,0.7,6.43,1.8,3.8,30,0.3,11,27,191,67,0.27,0.085,0.134,0.7,21,0.04,0.03,0.4,0.2,0.09,15,0,15,15,11.1,0,0,0,0,0,0,0,0,0,0.03,0,0,0.1,0.011,0.006,0.053,0,130,"1 cup, cubes",183,1 large,19
11124,carrot,carrots and turnips,"CARROTS,RAW",88.29,41,0.93,0.24,0.97,9.58,2.8,4.74,33,0.3,12,35,320,69,0.24,0.045,0.143,0.1,5.9,0.066,0.058,0.983,0.273,0.138,19,0,19,19,8.8,0,16706,835,0,3477,8285,0,1,256,0.66,0,0,13.2,0.037,0.014,0.117,0,128,"1 cup, chopped",110,"1 cup, grated",11
NA,cashewapple,cashewapple,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11135,cauliflower,cauliflowers and broccoli,"CAULIFLOWER,RAW",92.07,25,1.92,0.28,0.76,4.97,2,1.91,22,0.42,15,44,299,30,0.27,0.039,0.155,0.6,48.2,0.05,0.06,0.507,0.667,0.184,57,0,57,57,44.3,0,0,0,0,0,0,0,0,1,0.08,0,0,15.5,0.13,0.034,0.031,0,107,"1 cup, chopped (1/2"" pieces)",13,1 floweret,61
9063,sourcherry,sour cherries,"CHERRIES,SOUR,RED,RAW",86.13,50,1,0.3,0.4,12.18,1.6,8.49,16,0.32,9,15,173,3,0.1,0.104,0.112,0,10,0.03,0.04,0.4,0.143,0.044,8,0,8,8,6.1,0,1283,64,0,0,770,0,0,85,0.07,0,0,2.1,0.068,0.082,0.09,0,155,"1 cup, without pits",103,"1 cup, with pits yields",10
9070,cherry,cherries,"CHERRIES,SWEET,RAW",82.25,63,1.06,0.2,0.48,16.01,2.1,12.82,13,0.36,11,21,222,0,0.07,0.06,0.07,0,7,0.027,0.033,0.154,0.199,0.049,4,0,4,4,6.1,0,64,3,0,0,38,0,0,85,0.07,0,0,2.1,0.038,0.047,0.052,0,138,"1 cup, with pits yields",154,"1 cup, without pits",8
NA,citrusnes,citrus fruit nes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9433,tangetc,tangerines mandarins clem,"CLEMENTINES,RAW",86.58,47,0.85,0.15,0.4,12.02,1.7,9.18,30,0.14,10,21,177,1,0.06,0.043,0.023,0.1,48.8,0.086,0.03,0.636,0.151,0.075,24,0,24,24,14,,,,,,,,,,0.2,0,0,0,,,,,74,1 fruit,,,23
11900,greencorn,maize green,"CORN,SWEET,WHITE,RAW",75.96,86,3.22,1.18,0.62,19.02,2.7,3.22,2,0.52,37,89,270,15,0.45,0.054,0.161,0.6,6.8,0.2,0.06,1.7,0.76,0.055,46,0,46,46,,0,1,0,0,0,1,0,0,34,0.07,0,0,0.3,0.182,0.347,0.559,0,73,"1 ear,  small (5-1/2"" to 6-1/2"" long)",90,"1 ear,  medium (6-3/4"" to 7-1/2"" long)",64
11167,greencorn,maize green,"CORN,SWT,YEL,RAW",76.05,86,3.27,1.35,0.62,18.7,2,6.26,2,0.52,37,89,270,15,0.46,0.054,0.163,0.6,6.8,0.155,0.055,1.77,0.717,0.093,42,0,42,42,23,0,187,9,0,16,47,115,0,644,0.07,0,0,0.3,0.325,0.432,0.487,0,145,1 cup,143,"1 ear,  large (7-3/4"" to 9"" long) yields",64
9078,cranberry,cranberries,"CRANBERRIES,RAW",87.32,46,0.46,0.13,0.12,11.97,3.6,4.27,8,0.23,6,11,80,2,0.09,0.056,0.267,0.1,14,0.012,0.02,0.101,0.295,0.057,1,0,1,1,5.5,0,63,3,0,0,38,0,0,91,1.32,0,0,5,0.008,0.018,0.055,0,110,"1 cup, chopped",100,"1 cup, whole",2
11205,cucumberetc,cucumbers and gherkins,"CUCUMBER,WITH PEEL,RAW",95.23,15,0.65,0.11,0.38,3.63,0.5,1.67,16,0.28,13,24,147,2,0.2,0.041,0.079,0.3,2.8,0.027,0.033,0.098,0.259,0.04,7,0,7,7,6,0,105,5,0,11,45,26,0,23,0.03,0,0,16.4,0.037,0.005,0.032,0,52,".5 cup, slices",301,"1 cucumber,  (8-1/4"")",3
11937,cucumberetc,cucumbers and gherkins,"PICKLES,CUCUMBER,DILL OR KOSHER DILL",94.34,12,0.5,0.3,2.45,2.41,1,1.07,57,0.26,7,16,117,809,0.1,0.028,0.062,0,2.3,0.045,0.057,0.109,0.201,0.035,8,0,8,8,3.4,0,125,6,0,13,53,30,0,28,0.03,0,0,17.3,0.079,0.005,0.122,0,35,"1 spear, small",7,1 slice,0
9083,currant,currants,"CURRANTS,EUROPEAN BLACK,RAW",81.96,63,1.4,0.41,0.86,15.38,,,55,1.54,24,59,322,2,0.27,0.086,0.256,,181,0.05,0.05,0.3,0.398,0.066,,,,,,0,230,12,0,,,,,,1,,,,0.034,0.058,0.179,0,112,1 cup,,,2
9084,currant,currants,"CURRANTS,RED&WHITE,RAW",83.95,56,1.4,0.2,0.66,13.8,4.3,7.37,33,1,13,44,275,1,0.23,0.107,0.186,0.6,41,0.04,0.05,0.1,0.064,0.07,8,0,8,8,7.6,0,42,2,0,0,25,0,0,47,0.1,0,0,11,0.017,0.028,0.088,0,112,1 cup,,,2
9087,date,dates,"DATES,DEGLET NOOR",20.53,282,2.45,0.39,1.6,75.03,8,63.35,39,1.02,43,62,656,2,0.29,0.206,0.262,3,0.4,0.052,0.066,1.274,0.589,0.165,19,0,19,19,6.3,0,10,0,0,0,6,0,0,75,0.05,0,0,2.7,0.032,0.036,0.019,0,147,"1 cup, chopped",7.1,"1 date, pitted",10
9421,date,dates,"DATES,MEDJOOL",21.32,277,1.81,0.15,1.74,74.97,6.7,66.47,64,0.9,54,62,696,1,0.44,0.362,0.296,,0,0.05,0.06,1.61,0.805,0.249,15,0,15,15,9.9,,149,7,,0,89,0,0,23,,0,0,2.7,,,,,24,"1 date, pitted",,,8
11209,eggplant,eggplants aubergines,"EGGPLANT,RAW",92.3,25,0.98,0.18,0.66,5.88,3,3.53,9,0.23,14,24,229,2,0.16,0.081,0.232,0.3,2.2,0.039,0.037,0.649,0.281,0.084,22,0,22,22,6.9,0,23,1,0,0,14,0,0,36,0.3,0,0,3.5,0.034,0.016,0.076,0,82,"1 cup, cubes",458,"1 eggplant, peeled (yield from 1-1/4 lb)",19
9089,fig,figs,"FIGS,RAW",79.11,74,0.75,0.3,0.66,19.18,2.9,16.26,35,0.37,17,14,232,1,0.15,0.07,0.128,0.2,2,0.06,0.05,0.4,0.3,0.113,6,0,6,6,4.7,0,142,7,0,0,85,0,0,9,0.11,0,0,4.7,0.06,0.066,0.144,0,64,"1 large,  (2-1/2"" dia)",50,"1 medium,  (2-1/4"" dia)",1
11215,garlic,garlic,"GARLIC,RAW",58.58,149,6.36,0.5,1.5,33.06,2.1,1,181,1.7,25,153,401,17,1.16,0.299,1.672,14.2,31.2,0.2,0.11,0.7,0.596,1.235,3,0,3,3,23.2,0,9,0,0,0,5,0,0,16,0.08,0,0,1.7,0.089,0.011,0.249,0,136,1 cup,2.8,1 tsp,13
9107,gooseberry,gooseberries,"GOOSEBERRIES,RAW",87.87,44,0.88,0.58,0.49,10.18,4.3,,25,0.31,10,27,198,1,0.12,0.07,0.144,0.6,27.7,0.04,0.03,0.3,0.286,0.08,6,0,6,6,,0,290,15,0,,,,,,0.37,,,,0.038,0.051,0.317,0,150,1 cup,,,0
9111,grapefruitetc,grapefruit inc pomelos,"GRAPEFRUIT,RAW,PINK&RED&WHITE,ALL AREAS",90.89,32,0.63,0.1,0.31,8.08,1.1,6.98,12,0.09,8,8,139,0,0.07,0.047,0.012,0.3,34.4,0.036,0.02,0.25,0.283,0.042,10,0,10,10,7.7,0,927,46,0,4,552,6,1135,6,0.13,0,0,0,0.014,0.013,0.024,0,230,"1 cup, sections with juice",166,".5 large,  (approx 4-1/2"" dia)",50
9129,grape,grapes,"Grapes, muscadine, raw",84.29,57,0.81,0.47,0.5,13.93,3.9,,37,0.26,14,24,203,1,0.11,0.119,1.973,,6.5,,1.5,,,,2,,2,,,,67,3,,1,39,1,0,64,,,,,,,,,6,1 grape,,,4
9131,grape,grapes,"GRAPES,AMERICAN TYPE (SLIP SKN),RAW",81.3,67,0.63,0.35,0.57,17.15,0.9,16.25,14,0.29,5,10,191,2,0.04,0.04,0.718,0.1,4,0.092,0.057,0.3,0.024,0.11,4,0,4,4,5.6,0,100,5,0,1,59,0,0,72,0.19,0,0,14.6,0.114,0.014,0.102,0,92,1 cup,2.4,1 grape,42
9132,grape,grapes,"GRAPES,RED OR GRN (EURO TYPE,SUCH AS THOMPSON SEEDLESS),RAW",80.54,69,0.72,0.16,0.48,18.1,0.9,15.48,10,0.36,7,20,191,2,0.07,0.127,0.071,0.1,3.2,0.069,0.07,0.188,0.05,0.086,2,0,2,2,5.6,0,66,3,0,1,39,0,0,72,0.19,0,0,14.6,0.054,0.007,0.048,0,151,1 cup,49,10 grapes,4
9148,kiwi,kiwi fruit,"KIWIFRUIT,GRN,RAW",83.07,61,1.14,0.52,0.61,14.66,3,8.99,34,0.31,17,34,312,3,0.14,0.13,0.098,0.2,92.7,0.027,0.025,0.341,0.183,0.063,25,0,25,25,7.8,0,87,4,0,0,52,0,0,122,1.46,0,0,40.3,0.029,0.047,0.287,0,180,"1 cup, sliced",69,"1 fruit,  (2"" dia)",24
9150,lemonlime,lemons and limes,"LEMONS,RAW,WITHOUT PEEL",88.98,29,1.1,0.3,0.3,9.32,2.8,2.5,26,0.6,8,16,138,2,0.06,0.037,0.03,0.4,53,0.04,0.02,0.1,0.19,0.08,11,0,11,11,5.1,0,22,1,0,1,3,20,0,11,0.15,0,0,0,0.039,0.011,0.089,0,212,"1 cup, sections",58,"1 fruit,  (2-1/8"" dia)",47
11151,lettuce,lettuce and chicory,"CHICORY,WITLOOF,RAW",94.52,17,0.9,0.1,0.47,4,3.1,,19,0.24,10,26,211,2,0.16,0.051,0.1,0.2,2.8,0.062,0.027,0.16,0.145,0.042,37,0,37,37,,0,29,1,0,,,,,,,0,0,,0.024,0.002,0.044,0,53,1 head,45,.5 cup,11
11152,lettuce,lettuce and chicory,"CHICORY GREENS,RAW",92,23,1.7,0.3,1.3,4.7,4,0.7,100,0.9,30,47,420,45,0.42,0.295,0.429,0.3,24,0.06,0.1,0.5,1.159,0.105,110,0,110,110,12.8,0,5717,286,0,0,3430,0,0,10300,2.26,0,0,297.6,0.073,0.006,0.131,0,29,"1 cup, chopped",,,18
11154,lettuce,lettuce and chicory,"CHICORY ROOTS,RAW",80,72,1.4,0.2,0.89,17.51,1.5,8.73,41,0.8,22,61,290,50,0.33,0.077,0.233,0.7,5,0.04,0.03,0.4,0.323,0.241,23,0,23,23,,0,6,0,0,,,,,,,0,0,,0.048,0.004,0.087,0,60,1 root,45,".5 cup,  (1"" pieces)",18
11250,lettuce,lettuce and chicory,"LETTUCE,BUTTERHEAD (INCL BOSTON&BIBB TYPES),RAW",95.63,13,1.35,0.22,0.57,2.23,1.1,0.94,35,1.24,13,33,238,5,0.2,0.016,0.179,0.6,3.7,0.057,0.062,0.357,0.15,0.082,73,0,73,73,8.4,0,3312,166,0,0,1987,0,0,1223,0.18,0,0,102.3,0.029,0.008,0.117,0,55,"1 cup, shredded or chopped",163,"1 head,  (5"" dia)",26
11251,lettuce,lettuce and chicory,"LETTUCE,COS OR ROMAINE,RAW",94.61,17,1.23,0.3,0.58,3.29,2.1,1.19,33,0.97,14,30,247,8,0.23,0.048,0.155,0.4,4,0.072,0.067,0.313,0.142,0.074,136,0,136,136,9.9,0,8710,436,0,0,5226,0,0,2312,0.13,0,0,102.5,0.039,0.012,0.16,0,47,"1 cup, shredded",6,"1 leaf, inner",6
11253,lettuce,lettuce and chicory,"LETTUCE,GRN LEAF,RAW",94.98,15,1.36,0.15,0.62,2.87,1.3,0.78,36,0.86,13,29,194,28,0.18,0.029,0.25,0.6,9.2,0.07,0.08,0.375,0.134,0.09,38,0,38,38,13.6,0,7405,370,0,0,4443,0,0,1730,0.22,0,0,126.3,0.02,0.006,0.082,0,36,"1 cup, shredded",360,1 head,36
11252,lettuce,lettuce and chicory,"LETTUCE,ICEBERG (INCL CRISPHEAD TYPES),RAW",95.64,14,0.9,0.14,0.36,2.97,1.2,1.97,18,0.41,7,20,141,10,0.15,0.025,0.125,0.1,2.8,0.041,0.025,0.123,0.091,0.042,29,0,29,29,6.7,0,502,25,0,4,299,0,0,277,0.18,0,0,24.1,0.018,0.006,0.074,0,72,"1 cup, shredded",57,"1 cup, chopped (1/2"" pieces, loosely packed)",5
11257,lettuce,lettuce and chicory,"LETTUCE,RED LEAF,RAW",95.64,16,1.33,0.22,0.55,2.26,0.9,0.48,33,1.2,12,28,187,25,0.2,0.028,0.203,1.5,3.7,0.064,0.077,0.321,0.144,0.1,36,0,36,36,11.8,0,7492,375,0,0,4495,0,0,1724,0.15,0,0,140.3,0.017,0.005,0.072,0,28,"1 cup, shredded",2.6,"1 leaf, inner",20
9159,lemonlime,lemons and limes,"LIMES,RAW",88.26,30,0.7,0.2,0.3,10.54,2.8,1.69,33,0.6,6,18,102,2,0.11,0.065,0.008,0.4,29.1,0.03,0.02,0.2,0.217,0.043,8,0,8,8,5.1,0,50,2,0,0,30,0,0,0,0.22,0,0,0.6,0.022,0.019,0.055,0,67,"1 fruit,  (2"" dia)",67,1 NLEA serving,16
9139,mango,mangoes mangosteens guavas,"GUAVAS,COMMON,RAW",80.8,68,2.55,0.95,1.39,14.32,5.4,8.92,18,0.26,22,40,417,2,0.23,0.23,0.15,0.6,228.3,0.067,0.04,1.084,0.451,0.11,49,0,49,49,7.6,0,624,31,0,0,374,0,5204,0,0.73,0,0,2.6,0.272,0.087,0.401,0,165,1 cup,55,"1 fruit, without refuse",22
9176,mango,mangoes mangosteens guavas,"MANGOS,RAW",83.46,60,0.82,0.38,0.36,14.98,1.6,13.66,11,0.16,10,14,168,1,0.09,0.111,0.063,0.6,36.4,0.028,0.038,0.669,0.197,0.119,43,0,43,43,7.6,0,1082,54,0,9,640,10,3,23,0.9,0,0,4.2,0.092,0.14,0.071,0,165,"1 cup, pieces",336,"1 fruit, without refuse",29
9181,melonetc,other melons inc cantaloupes,"MELONS,CANTALOUPE,RAW",90.15,34,0.84,0.19,0.65,8.16,0.9,7.86,9,0.21,12,15,267,16,0.18,0.041,0.041,0.4,36.7,0.041,0.019,0.734,0.105,0.072,21,0,21,21,7.6,0,3382,169,0,16,2020,1,0,26,0.05,0,0,2.5,0.051,0.003,0.081,0,177,"1 cup, balls",160,"1 cup, cubes",49
9183,melonetc,other melons inc cantaloupes,"MELONS,CASABA,RAW",91.85,28,1.11,0.1,0.36,6.58,0.9,5.69,11,0.34,11,5,182,9,0.07,0.06,0.035,0.4,21.8,0.015,0.031,0.232,0.084,0.163,8,0,8,8,7.6,0,0,0,0,0,0,0,0,26,0.05,0,0,2.5,0.025,0.002,0.039,0,170,"1 cup, cubes",1640,1 melon,40
9184,melonetc,other melons inc cantaloupes,"MELONS,HONEYDEW,RAW",89.82,36,0.54,0.14,0.41,9.09,0.8,8.12,6,0.17,10,11,228,18,0.09,0.024,0.027,0.7,18,0.038,0.012,0.418,0.155,0.088,19,0,19,19,7.6,0,50,3,0,0,30,0,0,27,0.02,0,0,2.9,0.038,0.003,0.059,0,170,"1 cup, diced (approx 20 pieces per cup)",177,"1 cup, balls",54
11266,mushroom,mushrooms and truffles,"MUSHROOMS,BROWN,ITALIAN,OR CRIMINI,RAW",92.12,22,2.5,0.1,0.98,4.3,0.6,1.72,18,0.4,9,120,448,6,1.1,0.5,0.142,26,0,0.095,0.49,3.8,1.5,0.11,25,0,25,25,22.1,0.1,0,0,0,0,0,0,0,0,0.01,0.1,3,0,0.014,0.002,0.042,0,87,"1 cup, whole",72,"1 cup, sliced",3
11239,mushroom,mushrooms and truffles,"MUSHROOMS,CHANTERELLE,RAW",89.85,38,1.49,0.53,1.26,6.86,3.8,1.16,15,3.47,13,57,506,9,0.71,0.353,0.286,2.2,,0.015,0.215,4.085,1.075,0.044,2,0,2,2,,,,,,,,,,,,5.3,212,,,,,,54,1 cup,5.4,1 piece,0
11240,mushroom,mushrooms and truffles,"MUSHROOMS,MOREL,RAW",89.61,31,3.12,0.57,1.58,5.1,2.8,0.6,43,12.18,19,194,411,21,2.03,0.625,0.587,2.2,,0.069,0.205,2.252,0.44,0.136,9,0,9,9,,,0,0,,0,0,0,0,0,,5.1,206,,0.065,0.052,0.433,,66,1 cup,12.9,1 piece,0
11987,mushroom,mushrooms and truffles,"MUSHROOMS,OYSTER,RAW",89.18,33,3.31,0.41,1.01,6.09,2.3,1.11,3,1.33,18,120,420,18,0.77,0.244,0.113,2.6,0,0.125,0.349,4.956,1.294,0.11,38,0,38,38,48.7,0,48,2,0,0,29,0,0,0,0,0.7,29,0,0.062,0.031,0.123,0,148,1 large,15,1 small,11
11265,mushroom,mushrooms and truffles,"MUSHROOMS,PORTABELLA,RAW",92.82,22,2.11,0.35,0.85,3.87,1.3,2.5,3,0.31,,108,364,9,0.53,0.286,0.069,18.6,0,0.059,0.13,4.494,1.14,0.148,28,0,28,28,21.2,0.05,0,0,0,0,0,0,0,0,0.02,0.3,10,0,0.06,0.02,0.117,0,86,"1 cup, diced",84,"1 piece, whole",3
11238,mushroom,mushrooms and truffles,"MUSHROOMS,SHIITAKE,RAW",89.74,34,2.24,0.49,0.73,6.79,2.5,2.38,2,0.41,20,112,304,9,1.03,0.142,0.23,5.7,,0.015,0.217,3.877,1.5,0.293,13,0,13,13,,,,,,,,,,,,0.4,18,,,,,,19,"1 piece, whole",,,0
11260,mushroom,mushrooms and truffles,"MUSHROOMS,WHITE,RAW",92.45,22,3.09,0.34,0.85,3.26,1,1.98,3,0.5,9,86,318,5,0.52,0.318,0.047,9.3,2.1,0.081,0.402,3.607,1.497,0.104,17,0,17,17,17.3,0.04,0,0,0,0,0,0,0,0,0.01,0.2,7,0,0.05,0,0.16,0,70,"1 cup, pieces or slices",96,"1 cup, whole",3
