NDB_No,Earthstat,Earthstat description,Shrt_Desc,Water_(g),Energ_Kcal,Protein_(g),Lipid_Tot_(g),Ash_(g),Carbohydrt_(g),Fiber_TD_(g),Sugar_Tot_(g),Calcium_(mg),Iron_(mg),Magnesium_(mg),Phosphorus_(mg),Potassium_(mg),Sodium_(mg),Zinc_(mg),Copper_mg),Manganese_(mg),Selenium_(µg),Vit_C_(mg),Thiamin_(mg),Riboflavin_(mg),Niacin_(mg),Panto_Acid_mg),Vit_B6_(mg),Folate_Tot_(µg),Folic_Acid_(µg),Food_Folate_(µg),Folate_DFE_(µg),Choline_Tot_ (mg),Vit_B12_(µg),Vit_A_IU,Vit_A_RAE,Retinol_(µg),Alpha_Carot_(µg),Beta_Carot_(µg),Beta_Crypt_(µg),Lycopene_(µg),Lut+Zea_ (µg),Vit_E_(mg),Vit_D_µg,Vit_D_IU,Vit_K_(µg),FA_Sat_(g),FA_Mono_(g),FA_Poly_(g),Cholestrl_(mg),GmWt_1,GmWt_Desc1,GmWt_2,GmWt_Desc2,Refuse_Pct
9191,peachetc,peaches and nectarines,"NECTARINES,RAW",87.59,44,1.06,0.32,0.48,10.55,1.7,7.89,6,0.28,9,26,201,0,0.17,0.086,0.054,0,5.4,0.034,0.027,1.125,0.185,0.025,5,0,5,5,6.2,0,332,17,0,0,150,98,0,130,0.77,0,0,2.2,0.025,0.088,0.113,0,143,"1 cup, slices",129,"1 small,  (2-1/3"" dia)",9
11278,okra,okra,"OKRA,RAW",89.58,33,1.93,0.19,0.86,7.45,3.2,1.48,82,0.62,57,61,299,7,0.58,0.109,0.788,0.7,23,0.2,0.06,1,0.245,0.215,60,0,60,60,12.3,0,716,36,0,27,416,0,0,280,0.27,0,0,31.3,0.026,0.017,0.027,0,100,1 cup,95,"8 pods,  (3"" long)",14
11282,onion,onions dry,"ONIONS,RAW",89.11,40,1.1,0.1,0.35,9.34,1.7,4.24,23,0.21,10,29,146,4,0.17,0.039,0.129,0.5,7.4,0.046,0.027,0.116,0.123,0.12,19,0,19,19,6.1,0,2,0,0,0,1,0,0,4,0.02,0,0,0.4,0.042,0.013,0.017,0,160,"1 cup, chopped",115,"1 cup, sliced",10
11677,greenonion,onions inc shallots green,"SHALLOTS,RAW",79.8,72,2.5,0.1,0.8,16.8,3.2,7.87,37,1.2,21,60,334,12,0.4,0.088,0.292,1.2,8,0.06,0.02,0.2,0.29,0.345,34,0,34,34,11.3,0,4,0,0,0,3,0,0,8,0.04,0,0,0.8,0.017,0.014,0.039,0,10,"1 tbsp, chopped",,,12
11291,greenonion,onions inc shallots green,"ONIONS,SPRING OR SCALLIONS (INCL TOPS&BULB),RAW",89.83,32,1.83,0.19,0.81,7.34,2.6,2.33,72,1.48,20,37,276,16,0.39,0.083,0.16,0.6,18.8,0.055,0.08,0.525,0.075,0.061,64,0,64,64,5.7,0,997,50,0,0,598,0,0,1137,0.55,0,0,207,0.032,0.027,0.074,0,100,"1 cup, chopped",6,"1 tbsp, chopped",4
9200,orange,oranges,"ORANGES,RAW,ALL COMM VAR",86.75,47,0.94,0.12,0.44,11.75,2.4,9.35,40,0.1,10,14,181,0,0.07,0.045,0.025,0.5,53.2,0.087,0.04,0.282,0.25,0.06,30,0,30,30,8.4,0,225,11,0,11,71,116,0,129,0.18,0,0,0,0.015,0.023,0.025,0,180,"1 cup, sections",184,"1 large,  (3-1/16"" dia)",27
9226,papaya,papayas,"PAPAYAS,RAW",88.06,43,0.47,0.26,0.39,10.82,1.7,7.82,20,0.25,21,10,182,8,0.08,0.045,0.04,0.6,60.9,0.023,0.027,0.357,0.191,0.038,37,0,37,37,6.1,0,950,47,0,2,274,589,1828,89,0.3,0,0,2.6,0.081,0.072,0.058,0,145,"1 cup, 1"" pieces",230,"1 cup, mashed",38
9236,peachetc,peaches and nectarines,"PEACHES,YEL,RAW",88.87,39,0.91,0.25,0.43,9.54,1.5,8.39,6,0.25,9,20,190,0,0.17,0.068,0.061,0.1,6.6,0.024,0.031,0.806,0.153,0.025,4,0,4,4,6.1,0,326,16,0,0,162,67,0,91,0.73,0,0,2.6,0.019,0.067,0.086,0,154,"1 cup, slices",130,"1 small,  (2-1/2"" dia)",4
9252,pear,pears,"PEARS,RAW",83.96,57,0.36,0.14,0.32,15.23,3.1,9.75,9,0.18,7,12,116,1,0.1,0.082,0.048,0.1,4.3,0.012,0.026,0.161,0.049,0.029,7,0,7,7,5.1,0,25,1,0,1,14,2,0,44,0.12,0,0,4.4,0.022,0.084,0.094,0,140,"1 cup, slices",161,"1 cup, cubes",10
11304,greenpea,peas green,"PEAS,GREEN,RAW",78.86,81,5.42,0.4,0.87,14.45,5.7,5.67,25,1.47,33,108,244,5,1.24,0.176,0.41,1.8,40,0.266,0.132,2.09,0.104,0.169,65,0,65,65,28.4,0,765,38,0,21,449,0,0,2477,0.13,0,0,24.8,0.071,0.035,0.187,0,145,1 cup,,,62
11976,chilleetc,"chillies and peppers, green","PEPPER,BANANA,RAW",91.81,27,1.66,0.45,0.73,5.35,3.4,1.95,14,0.46,17,32,256,13,0.25,0.094,0.1,0.3,82.7,0.081,0.054,1.242,0.265,0.357,29,0,29,29,7.4,0,340,17,0,39,184,0,0,0,0.69,0,0,9.5,0.048,0.027,0.243,0,124,1 cup,33,"1 small,  (4"" long)",18
11670,chilleetc,"chillies and peppers, green","PEPPERS,HOT CHILI,GRN,RAW",87.74,40,2,0.2,0.6,9.46,1.5,5.1,18,1.2,25,46,340,7,0.3,0.174,0.237,0.5,242.5,0.09,0.09,0.95,0.061,0.278,23,0,23,23,11.1,0,1179,59,0,23,671,50,0,725,0.69,0,0,14.3,0.021,0.011,0.109,0,45,1 pepper,75,".5 cup, chopped or diced",27
11819,chilleetc,"chillies and peppers, green","PEPPERS,HOT CHILI,RED,RAW",88.02,40,1.87,0.44,0.87,8.81,1.5,5.3,14,1.03,23,43,322,9,0.26,0.129,0.187,0.5,143.7,0.072,0.086,1.244,0.201,0.506,23,0,23,23,10.9,0,952,48,0,36,534,40,0,709,0.69,0,0,14,0.042,0.024,0.239,0,45,1 pepper,75,".5 cup, chopped or diced",27
11981,chilleetc,"chillies and peppers, green","PEPPERS,HUNGARIAN,RAW",91.51,29,0.8,0.41,0.58,6.7,1,3.53,12,0.46,16,29,202,1,0.3,0.115,0.204,0.3,92.9,0.079,0.055,1.092,0.205,0.517,53,0,53,53,7.7,0,816,41,0,16,465,34,0,502,0.48,0,0,9.9,0.046,0.024,0.24,0,27,1 pepper,,,12
11979,chilleetc,"chillies and peppers, green","PEPPERS,JALAPENO,RAW",91.69,29,0.91,0.37,0.53,6.5,2.8,4.12,12,0.25,15,26,248,3,0.14,0.046,0.097,0.4,118.6,0.04,0.07,1.28,0.315,0.419,27,0,27,27,7.5,0,1078,54,0,67,561,105,0,861,3.58,0,0,18.5,0.092,0.029,0.112,0,90,"1 cup, sliced",14,1 pepper,8
11977,chilleetc,"chillies and peppers, green","PEPPERS,SERRANO,RAW",90.25,32,1.74,0.44,0.87,6.7,3.7,3.83,11,0.86,22,40,305,10,0.26,0.129,0.187,0.4,44.9,0.054,0.081,1.537,0.2,0.505,23,0,23,23,8.9,0,937,47,0,18,534,40,0,544,0.69,0,0,11.8,0.059,0.023,0.222,0,105,"1 cup, chopped",6.1,1 pepper,3
11951,pepper,pepper piper spp,"PEPPERS,SWEET,YELLOW,RAW",92.02,27,1,0.21,0.45,6.32,0.9,,11,0.46,12,24,212,2,0.17,0.107,0.117,0.3,183.5,0.028,0.025,0.89,0.168,0.168,26,0,26,26,,0,200,10,0,,120,,,,,0,0,,0.031,,,0,186,"1 pepper,  large (3-3/4"" long, 3"" dia)",52,10 strips,18
11333,chilleetc,"chillies and peppers, green","PEPPERS,SWT,GRN,RAW",93.89,20,0.86,0.17,0.43,4.64,1.7,2.4,10,0.34,10,20,175,3,0.13,0.066,0.122,0,80.4,0.057,0.028,0.48,0.099,0.224,10,0,10,10,5.5,0,370,18,0,21,208,7,0,341,0.37,0,0,7.4,0.058,0.008,0.062,0,149,"1 cup, chopped",92,"1 cup, sliced",18
11821,pepper,pepper piper spp,"PEPPERS,SWT,RED,RAW",92.21,31,0.99,0.3,0.47,6.03,2.1,4.2,7,0.43,12,26,211,4,0.25,0.017,0.112,0.1,127.7,0.054,0.085,0.979,0.317,0.291,46,0,46,46,5.6,0,3131,157,0,20,1624,490,0,51,1.58,0,0,4.9,0.027,0.003,0.07,0,149,"1 cup, chopped",92,"1 cup, sliced",18
9263,persimmon,persimmons,"PERSIMMONS,JAPANESE,RAW",80.32,70,0.58,0.19,0.33,18.59,3.6,12.53,8,0.15,9,17,161,1,0.11,0.113,0.355,0.6,7.5,0.03,0.02,0.1,,0.1,8,0,8,8,7.6,0,1627,81,0,0,253,1447,159,834,0.73,0,0,2.6,0.02,0.037,0.043,0,168,"1 fruit,  (2-1/2"" dia)",,,16
9265,persimmon,persimmons,"PERSIMMONS,NATIVE,RAW",64.4,127,0.8,0.4,0.9,33.5,,,27,2.5,,26,310,1,,,,,66,,,,,,,,,,,0,,,,,,,,,,,,,,,,0,25,"1 fruit, without refuse",,,18
9266,pineapple,pineapples,"PINEAPPLE,RAW,ALL VAR",86,50,0.54,0.12,0.22,13.12,1.4,9.85,13,0.29,12,8,109,1,0.12,0.11,0.927,0.1,47.8,0.079,0.032,0.5,0.213,0.112,18,0,18,18,5.5,0,58,3,0,0,35,0,0,0,0.02,0,0,0.7,0.009,0.013,0.04,0,165,"1 cup, chunks",905,1 fruit,49
9277,plantain,plantains,"PLANTAINS,RAW",65.28,122,1.3,0.37,1.17,31.89,2.3,15,3,0.6,37,34,499,4,0.14,0.081,,1.5,18.4,0.052,0.054,0.686,0.26,0.299,22,0,22,22,13.5,0,1127,56,0,438,457,0,0,30,0.14,0,0,0.7,0.143,0.032,0.069,0,148,"1 cup, sliced",179,1 medium,35
9279,plum,plums and sloes,"PLUMS,RAW",87.23,46,0.7,0.28,0.37,11.42,1.4,9.92,6,0.17,7,16,157,0,0.1,0.057,0.052,0,9.5,0.028,0.026,0.417,0.135,0.029,5,0,5,5,1.9,0,345,17,0,0,190,35,0,73,0.26,0,0,6.4,0.017,0.134,0.044,0,165,"1 cup, sliced",66,"1 fruit,  (2-1/8"" dia)",6
11467,pumpkinetc,pumpkins squash and gourds,"SQUASH,SMMR,CROOKNECK&STRAIGHTNECK,RAW",94.28,19,1.01,0.27,0.56,3.88,1,2.88,21,0.44,20,32,222,2,0.29,0.092,0.172,0.2,19.3,0.051,0.041,0.448,0.16,0.104,19,0,19,19,7.1,0,150,8,0,0,90,0,0,290,0.13,0,0,3.2,0.093,0.013,0.082,0,127,"1 cup, sliced",,,1
11475,pumpkinetc,pumpkins squash and gourds,"SQUASH,SUMMER,SCALLOP,RAW",94.18,18,1.2,0.2,0.58,3.84,1.2,2.39,19,0.4,23,36,182,1,0.29,0.102,0.157,0.2,18,0.07,0.03,0.6,0.102,0.109,30,0,30,30,7.3,0,217,11,0,0,130,0,0,2308,0.13,0,0,3.3,0.041,0.015,0.084,0,130,"1 cup, slices",,,2
11477,pumpkinetc,pumpkins squash and gourds,"SQUASH,SMMR,ZUCCHINI,INCL SKN,RAW",94.79,17,1.21,0.32,0.58,3.11,1,2.5,16,0.37,18,38,261,8,0.32,0.053,0.177,0.2,17.9,0.045,0.094,0.451,0.204,0.163,24,0,24,24,9.5,0,200,10,0,0,120,0,0,2125,0.12,0,0,4.3,0.084,0.011,0.091,0,124,"1 cup, chopped",113,"1 cup, sliced",5
11482,pumpkinetc,pumpkins squash and gourds,"SQUASH,WINTER,ACORN,RAW",87.78,40,0.8,0.1,0.9,10.42,1.5,,33,0.7,32,36,347,3,0.13,0.065,0.167,0.5,11,0.14,0.01,0.7,0.4,0.154,17,0,17,17,,0,367,18,0,0,220,0,0,38,,0,0,,0.021,0.007,0.042,0,140,"1 cup, cubes",431,"1 squash,  (4 inch dia)",24
11485,pumpkinetc,pumpkins squash and gourds,"SQUASH,WNTR,BUTTERNUT,RAW",86.41,45,1,0.1,0.8,11.69,2,2.2,48,0.7,34,33,352,4,0.15,0.072,0.202,0.5,21,0.1,0.02,1.2,0.4,0.154,27,0,27,27,,0,10630,532,0,834,4226,3471,0,0,1.44,0,0,1.1,0.021,0.007,0.042,0,140,"1 cup, cubes",,,16
11489,pumpkinetc,pumpkins squash and gourds,"SQUASH,WINTER,HUBBARD,RAW",88,40,2,0.5,0.8,8.7,3.9,3.95,14,0.4,19,21,320,7,0.13,0.064,0.179,0.5,11,0.07,0.04,0.5,0.4,0.154,16,0,16,16,11.8,0,1367,68,0,0,820,0,0,0,0.16,0,0,1.3,0.103,0.037,0.21,0,116,"1 cup, cubes",,,36
11492,pumpkinetc,pumpkins squash and gourds,"SQUASH,WNTR,SPAGHETTI,RAW",91.6,31,0.64,0.57,0.28,6.91,1.5,2.76,23,0.31,12,12,108,17,0.19,0.037,0.125,0.3,2.1,0.037,0.018,0.95,0.36,0.101,12,0,12,12,8.2,0,120,6,0,16,64,0,0,0,0.13,0,0,0.9,0.117,0.042,0.239,0,101,"1 cup, cubes",,,29
11422,pumpkinetc,pumpkins squash and gourds,"PUMPKIN,RAW",91.6,26,1,0.1,0.8,6.5,0.5,2.76,21,0.8,12,44,340,1,0.32,0.127,0.125,0.3,9,0.05,0.11,0.6,0.298,0.061,16,0,16,16,8.2,0,8513,426,0,4016,3100,0,0,1500,1.06,0,0,1.1,0.052,0.013,0.005,0,116,"1 cup,  (1"" cubes)",,,30
9296,quince,quinces,"QUINCES,RAW",83.8,57,0.4,0.1,0.4,15.3,1.9,,11,0.7,8,17,197,4,0.04,0.13,,0.6,15,0.02,0.03,0.2,0.081,0.04,3,0,3,3,,0,40,2,0,,,,,,,,,,0.01,0.036,0.05,0,92,"1 fruit, without refuse",,,39
9302,rasberry,raspberries,"RASPBERRIES,RAW",85.75,52,1.2,0.65,0.46,11.94,6.5,4.42,25,0.69,22,29,151,1,0.42,0.09,0.67,0.2,26.2,0.032,0.038,0.598,0.329,0.055,21,0,21,21,12.3,0,33,2,0,16,12,0,0,136,0.87,0,0,7.8,0.019,0.064,0.375,0,123,1 cup,312,"1 pint,  as purchased, yields",4
11457,spinach,spinach,"SPINACH,RAW",91.4,23,2.86,0.39,1.72,3.63,2.2,0.42,99,2.71,79,49,558,79,0.53,0.13,0.897,1,28.1,0.078,0.189,0.724,0.065,0.195,194,0,194,194,19.3,0,9377,469,0,0,5626,0,0,12198,2.03,0,0,482.9,0.063,0.01,0.165,0,30,1 cup,340,1 bunch,28
9316,strawberry,strawberries,"STRAWBERRIES,RAW",90.95,32,0.67,0.3,0.4,7.68,2,4.89,16,0.41,13,24,153,1,0.14,0.048,0.386,0.4,58.8,0.024,0.022,0.386,0.125,0.047,24,0,24,24,5.7,0,12,1,0,0,7,0,0,26,0.29,0,0,2.2,0.015,0.043,0.155,0,152,"1 cup,  halves",232,"1 cup, pureed",6
9218,tangetc,tangerines mandarins clem,"TANGERINES,(MANDARIN ORANGES),RAW",85.17,53,0.81,0.31,0.38,13.34,1.8,10.58,37,0.15,12,20,166,2,0.07,0.042,0.039,0.1,26.7,0.058,0.036,0.376,0.216,0.078,16,0,16,16,10.2,0,681,34,0,101,155,407,0,138,0.2,0,0,0,0.039,0.06,0.065,0,195,"1 cup, sections",76,"1 small,  (2-1/4"" dia)",26
11529,tomato,tomatoes,"TOMATOES,RED,RIPE,RAW,YEAR RND AVERAGE",94.52,18,0.88,0.2,0.5,3.89,1.2,2.63,10,0.27,11,24,237,5,0.17,0.059,0.114,0,13.7,0.037,0.019,0.594,0.089,0.08,15,0,15,15,6.7,0,833,42,0,101,449,0,2573,123,0.54,0,0,7.9,0.028,0.031,0.083,0,149,"1 cup,  cherry tomatoes",180,"1 cup, chopped or sliced",9
9326,watermelon,watermelons,"WATERMELON,RAW",91.45,30,0.61,0.15,0.25,7.55,0.4,6.2,7,0.24,10,11,112,1,0.1,0.042,0.038,0.4,8.1,0.033,0.021,0.178,0.221,0.045,3,0,3,3,4.1,0,569,28,0,0,303,78,4532,8,0.05,0,0,0.1,0.016,0.037,0.05,0,154,"1 cup, balls",152,"1 cup, diced",48
